日期,項目,金額,備註
2025-06-01,7-11購物,-165,生活日常
2025-06-01,薪資入帳,38000,2025年6月薪水
2025-06-02,早餐店 豆漿,-45,早餐
2025-06-02,捷運悠遊卡加值,-500,捷運通勤加值
2025-06-03,ATM提款,-1000,現金提領
2025-06-03,轉帳給好友,-600,LINE好友轉帳
2025-06-04,家樂福 購物,-820,日用品採購
2025-06-04,Netflix月費,-390,每月自動扣款
2025-06-04,全聯 消費,-256,日常採買
2025-06-05,Uber Eats 訂餐,-180,外送平台
2025-06-05,LINE Pay 轉帳,-900,手機轉帳
2025-06-06,手續費,-15,轉帳手續費
2025-06-06,博客來 書籍,-315,閱讀購物
2025-06-07,拍賣退款,200,退貨
2025-06-07,國泰世華信用卡還款,-9000,信用卡帳單付款
2025-06-07,轉帳來自王小明,1500,轉帳收款
2025-06-08,Subway 午餐,-139,速食店用餐
2025-06-08,租金收入,8000,房東轉入
2025-06-09,水果攤,-60,市場水果
2025-06-10,家樂福 生鮮,-430,採買蔬菜肉類
2025-06-10,加油站,-1300,汽油加油
2025-06-11,iTunes 訂閱,-150,蘋果訂閱費用
2025-06-11,公司發票獎金,3000,員工獎金
2025-06-12,醫院掛號費,-200,門診費用
2025-06-12,藥局消費,-185,感冒藥
2025-06-13,PChome 購物,-1299,線上購物
2025-06-13,還信用卡,-5000,繳費
2025-06-14,水費,-320,台水繳費單
2025-06-14,電費,-870,台電帳單
2025-06-15,電話費,-600,中華電信
2025-06-15,電話費（補扣）,-210,補扣上期費用
2025-06-16,咖啡店 Starbucks,-145,咖啡飲品
2025-06-17,Uber 搭車,-250,交通搭乘
2025-06-17,電影院 訂票,-280,朋友約電影
2025-06-18,提款,-2000,ATM 現金
